,entity
9782,LIMITED LIABILITY COMPANY SBERBANK REAL ESTATE CENTER
9783,LIMITED LIABILITY COMPANY DIGITAL TECHNOLOGIES
9784,SBER LEGAL LIMITED LIABILITY COMPANY
9785,BARUS LIMITED LIABILITY COMPANY
9786,JOINT STOCK COMPANY STRATEGY PARTNERS GROUP
9787,SBER VOSTOK LIMITED LIABILITY PARTNERSHIP
9788,BANKRUPTCY TECHNOLOGY CENTER LIMITED LIABILITY COMPANY
9789,JOINT STOCK COMPANY UNITED CREDIT BUREAU
9790,PUBLIC JOINT STOCK COMPANY UNITED AIRCRAFT CORPORATION
9791,PUBLIC JOINT STOCK COMPANY TAGANROG AVIATION SCIENTIFIC-TECHNICAL COMPLEX N.A. G.M. BERIEV
9792,JOINT STOCK COMPANY FLIGHT RESEARCH INSTITUTE N.A. M.M. GROMOV
9793,BITRIVER AG
9794,OOO MANAGEMENT COMPANY BITRIVER
9795,OOO BITRIVER RUS
9796,"KADYROVA, Medni Musaevna"
9797,"KHAZUEVA, Fatima Shaykhievna"
9798,"KADYROVA, Ayshat Ramzanovna"
9799,"KADYROVA, Karina Ramzanovna"
9800,LIMITED LIABILITY COMPANY FIRDAWS
9801,OOO EVEREST GRUP
9802,OOO SIBIRSKIE MINERALY
9803,OOO TUVAASBEST
9804,OOO TORGOVY DOM ASBEST
9805,OOO BITRIVER-B
9806,OOO BITRIVER-K
9807,OOO BITRIVER-NORTH
9808,OOO BITRIVER-TURMA
9809,"BENDERSKIY, Eduard Vitalyevich"
9810,"MALOFEYEV, Kirill Konstantinovich"
9811,"SUBBOTIN, Alexey Anatolyevich"
9812,"KUPRIYANOV, Alexey Aleksandrovich"
9813,"LESHCHENKO, Mikhail Aleksandrovich"
9814,"GADETSKIY, Yevgeniy Yuryevich"
9815,"YAKUSHEV, Mikhail Ilich"
9816,"KUZMIN, Pavel Vladimirovich"
9817,PUBLIC JOINT STOCK COMPANY ROSBANK
9818,"ROLDUGIN, Sergei Pavlovich"
9819,"MIRTOVA, Elena Yuryevna"
9820,"RESHETNIKOV, Maxim Gennadyevich"
9821,"SAVELYEV, Vitaly Gennadyevich"
9822,"CHAYKA, Igor Yuryevich"
9823,AKTSIONERNOE OBSHCHESTVO NATSIONALNAYA INZHINIRINGOVAYA KORPORATSIYA
9824,"TROSHIN, Aleksei Valeryevich"
9825,OOO AQUA SOLID
9826,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU FERTOING
9827,OOO EKOGRUPP
9828,OOO INZHINIRING.RF
9829,OOO INNOVATSII SVETA
9830,OOO KHARTIYA
9831,OOO BM PROEKT-EKOLOGIYA
9832,OOO MEZHMUNITSIPALNOE ATP
9833,"ZAVOROTNYI, Ivan Aleksandrovich"
9834,OOO AGRO-REGION
9835,OOO REGION-COMFORT
9836,OOO KOMPANIYA ZOLOTOI VEK
9837,SPARTA II
9838,AMBAL
9839,MARIA E
9840,SC SOUTH LLC
9841,"AKIMOV, Alexander Konstantinovich"
9842,"ABRAMOV, Ivan Nikolayevich"
9843,"AKHMADOV, Mohmad Isaevich"
9844,"ARENIN, Sergei Petrovich"
9845,"ARKHAROV, Yuri Viktorovich"
9846,"ARTAMONOV, Anatoly Dmitrievich"
9847,"AFANASOV, Mikhail Alexandrovich"
9848,"ALEKSEEV, Oleg Aleksandrovich"
9849,"AFANASEVA, Yelena Vladimirovna"
9850,"BASHKIN, Alexander Davidovich"
9851,"BAZILEVSKY, Andrey Alexandrovich"
9852,"BARAKHOYEV, Mukharbek Oybertovich"
9853,"BEZDENEZHNYKH, Sergei Vyacheslavovich"
9854,"BONDAREV, Viktor Nikolayevich"
9855,"BORISOV, Yegor Afanasyevich"
9856,"BRYKSIN, Alexander Yuryevich"
9857,"BELOUSOV, Mikhail Vladimirovich"
9858,"BEREZKIN, Sergei Vladimirovich"
9859,"BEKETOV, Vladimir Andreyevich"
9860,"BIBIKOVA, Yelena Vasilyevna"
9861,"CHERNYSHEV, Andrey Vladimirovich"
9862,"DVOINYKH, Alexander Vlademirovich"
9863,"DENGIN, Vadim Yevgenyevich"
9864,"DOLGOV, Konstantin Konstantinovich"
9865,"EMELYANOV, Gennady Egorovich"
9866,"EPIFANOVA, Olga Nikolayevna"
9867,"FADZAYEV, Arsen Suleymanovich"
9868,"FEDOROV, Yury Viktorovich"
9869,"FYODOROV, Nikolai Vasilyevich"
9870,"GIBATDINOV, Airat Minerasikhovich"
9871,"GUSEV, Denis Vladimirovich"
9872,"GUMEROVA, Lilia Salavatovna"
9873,"GALUSHINA, Rimma Fyodorovna"
9874,"GEREMEYEV, Suleiman Sadulayevich"
9875,"GIGEL, Tatyana Anatolyevna"
9876,"GUSAKOVSKY, Alexander Vladislavovich"
9877,"GORITSKY, Dmitry Yuryevich"
9878,"GLEBOVA, Lyubov Nikolayevna"
9879,"GORNYAKOV, Sergei Vasilyevich"
9880,"GORYACHEVA, Svetlana Petrovna"
9881,"GORODETSKIY, Vladimir Filippovich"
9882,"ISAKOV, Eduard Vladimirovich"
9883,"IKONNIKOV, Vasily Nikolayevich"
9884,"IVANOV, Sergey Borisovich"
9885,"KONDRATENKO, Aleksey Nikolayevich"
9886,"KARLIN, Alexander Bogdanovich"
9887,"KLIMOV, Andrey Akardyevich"
9888,"KUTEPOV, Andrey Viktorovich"
9889,"KHAMCHIEV, Belan Bagaudinovich"
9890,"KARELOVA, Galina Nikolayevna"
9891,"KOZHANOVA, Irina Andreyevna"
9892,"KAZANOKOV, Krym Olievich"
9893,"KHAPSIROKOV, Murat Krym-Gerievich"
9894,"KONDRATYUK, Nikolai Fyodorovich"
9895,"KHLYAKINA, Oksana Vladimirovna"
9896,"KALASHNIK, Sergey Viktorovich"
9897,"KRUGLY, Vladimir Igorevich"
9898,"KARELIN, Alexander Alexandrovich"
9899,"KISLOV, Andrey Igoryevich"
9900,"KUZMIN, Dmitry Gennadyevich"
9901,"KARASIN, Grigory Borisovich"
9902,"KOSYKHINA, Natalia Vladimirovna"
9903,"KULIKOVSKIH, Nina Germanovna"
9904,"KHOKHLOVA, Olga Nikolayevna"
9905,"KISLYAK, Sergei Ivanovich"
9906,"KOLBIN, Sergey Nikolayevich"
9907,"KRAVCHENKO, Vladimir Kasimirovich"
9908,"LEDKOV, Grigory Petrovich"
9909,"LEBEDEV, Vladimir Albertovich"
9910,"LAZUTKINA, Yulia Viktorovna"
9911,"MAYOROV, Alexei Petrovich"
9912,"MOROZOV, Igor Nikolayevich"
9913,"MITIN, Sergei Gerasimovich"
9914,"MURATOV, Sergey Nikolayevich"
9915,"MUKHAMETSHIN, Farit Mubarakshevich"
9916,"MIKHAILOV, Sergei Petrovich"
9917,"MARTYNOV, Sergey Alexandrovich"
9918,"MAMSUROV, Taimuraz Dzhambekovich"
9919,"NAROLIN, Alexander Vladimirovich"
9920,"NIKITIN, Alexander Valeryevich"
9921,"NEVZOROV, Boris Alexandrovich"
9922,"NOVOZHILOV, Viktor Feodosyevich"
9923,"NOVIUKHOV, Alexander Vyacheslavovich"
9924,"NAGOVITSYN, Vyacheslav Vladimirovich"
9925,"ORLOV, Alexei Maratovich"
9926,"OYUN, Dina Ivanovna"
9927,"OTKE, Anna Ivanovna"
9928,"ORDENOV, Gennady Ivanovich"
9929,"PRONYUSHKIN, Alexander Yuryevich"
9930,"PERMINOV, Dmitry Sergeyevich"
9931,"PAVLOVA, Margarita Nikolayevna"
9932,"PERMINOVA, Yelena Alekseyevna"
9933,"PISAREVA, Elena Vladimirovna"
9934,"PETINA, Irina Alexandrovna"
9935,"PERMINOV, Sergey Nikolayevich"
9936,"POLETAYEV, Vladimir Vladimirovich"
9937,"RAKITIN, Alexander Vasilyevich"
9938,"RAPOTA, Grigoriy Alexeyevich"
9939,"RUKAVISHNIKOVA, Irina Valeryevna"
9940,"RYABUKHIN, Sergey Nikolayevich"
9941,"SALPAGAROV, Akhmat Anzorovich"
9942,"SINITSYN, Alexei Vladimirovich"
9943,"SHEVCHENKO, Andrei Anatolyevich"
9944,"SAVELYEV, Dmitry Vladimirovich"
9945,"SAVCHENKO, Evgeny Stepanovich"
9946,"SVYATENKO, Inna Yuryevna"
9947,"SKAKOVSKAYA, Lyudmila Nikolayevna"
9948,"SAKHAROVA, Tatiana Anatolyevna"
9949,"SAVIN, Alexander Alexandrovich"
9950,"SHIROKOV, Anatoly Ivanovich"
9951,"SHEIKIN, Artem Gennadyevich"
9952,"SHUMILOVA, Elena Borisovna"
9953,"SOLODUN, Galina Nikolayevna"
9954,"SAFIN, Lenar Rinatovich"
9955,"SEMISOTOV, Nikolai Petrovich"
9956,"SEMYONOV, Valery Vladimirovich"
9957,"TKACH, Oleg Polikarpovich"
9958,"TARAKANOV, Pavel Vladimirovich"
9959,"TALABAYEVA, Lyudmila Zaumovna"
9960,"TSEPKIN, Oleg Vladimirovich"
9961,"TULTAEV, Peter Nikolayevich"
9962,"TIMCHENKO, Vyacheslav Stepanovich"
9963,"USATYUK, Valery Petrovich"
9964,"ULBASHEV, Mukharby Magomedovich"
9965,"VAINBERG, Alexander Vladelenovich"
9966,"VYSOKINSKY, Alexander Gennadyevich"
9967,"VLADIMIROV, Nikolay Nikolayevich"
9968,"VALYAEV, Yuri Konstantinovich"
9969,"VARFOLOMEEV, Alexander Georgyevich"
9970,"VASILYEV, Valery Nikolayevich"
9971,"VOROBYOV, Yury Leonidovich"
9972,"YAROSHUK, Alexander Georgievich"
9973,"YATSKIN, Andrey Vladimirovich"
9974,"YALALOV, Irek Ishmukhametovich"
9975,"YEPISHIN, Andrei Nikolayevich"
9976,"YAGUBOV, Gennady Vladimirovich"
9977,"ZHUKOVA, Anastasia Gennadyevna"
9978,"ZHAMSUYEV, Bair Bayaskhalanovich"
9979,"ZHURAVLEV, Nikolai Andreyevich"
9980,"ZOBNEV, Viktor Viktororvich"
9981,"ZUBAREV, Igor Dmitryevich"
9982,"ZABRALOVA, Olga Sergeyevna"
9983,"ZLENKO, Yelena Gennadyevna"
9984,"SEREDA, Mikhail Leonidovich"
9985,"SHAMALOV, Yurii Nikolaevich"
9986,"GAZARYAN, Yuriy Garunovich"
9987,"BELOUS, Aleksei Petrovich"
9988,"BORISENKO, Elena Adolfovna"
9989,"YELISEYEV, Ilya Vladimirovich"
9990,"ZAUERS, Dmitrii Vladimirovich"
9991,"KOMANOV, Viktor Alekseevich"
9992,"MATVEEV, Aleksei Anatolievich"
9993,"MURANOV, Aleksander Yurievich"
9994,"RUSANOV, Igor Valerievich"
9995,"RYSKIN, Vladimir Markovich"
9996,"SOBOL, Alexander Ivanovich"
9997,"STEPANOV, Aleksandr Mikhailovich"
9998,"KHACHATUROV, Tigran Garikovich"
9999,"VINOKUROV, Vladimir Nikolaevich"
10000,"KAMYSHEV, Denis Valentinovich"
10001,"KAPLUNNIK, Irina Aleksandrovna"
10002,LIMITED LIABILITY COMPANY PROMTEKHNOLOGIYA
10003,JOINT STOCK COMPANY MOSCOW INDUSTRIAL BANK
10004,"POPOVICH, Aleksei Valerievich"
10005,"PUZYRNIKOVA, Natalya Vladislavovna"
10006,"GAVRILENKO, Anatolii Anatolyevich"
10007,"ROSSEEV, Mikhail Nikolaevich"
10008,"TYURIN, Vyacheslav Aleksandrovich"
10009,"SADYGOV, Famil Kamil Ogly"
10010,"DMITRIEV, Vladimir Aleksandrovich"
10011,KONTRAKT OOO
10012,EKSPLUATIRUYUSHCHAYA KOMPANIYA TSENTR OOO
10013,AGROPROMYSHLENNY KOMPLEKS VORONEZHSKI OOO
10014,ANNINSKII ELEVATOR OOO
10015,AUDITKONSALT OOO
10016,DVE STOLITSY OOO
10017,BELINVESTSTROI OOO
10018,LADOGA OOO
10019,NEKOMMERCHESKAYA ORGANIZATSIYA FOND KHIMICHESKOE RAZORUZHENIE I KONVERSIYA
10020,AZOVSKAYA ZERNOVAYA KOMPANIYA OOO
10021,PIZHMA
10022,SPARTA
10023,SPARTA III
10024,SPARTA IV
10025,JOINT STOCK COMPANY NORTHERN SHIPPING COMPANY
10026,BELOMORSKIY
10027,CHIZHOVKA
10028,DVINSKIY ZALIV
10029,INZHENER TRUBIN
10030,INZHENER VESHNYAKOV
10031,IOHANN MAHMASTAL
10032,KAPITAN KOKOVIN
10033,KAPITAN RYNTSYN
10034,KAPITAN SAKHAROV
10035,KHOLMOGORY
10036,LAPOMINKA
10037,MEKHANIK BRILIN
10038,MEKHANIK KOTTSOV
10039,MEKHANIK KRASKOVSKIY
10040,MEKHANIK MAKARIN
10041,MEKHANIK PUSTOSHNYY
10042,MEKHANIK PYATLIN
10043,MG-FLOT LIMITED LIABILITY COMPANY
10044,MEKHANIK YARTSEV
10045,MIKHAIL LOMONOSOV
10046,S. KUZNETSOV
10047,SIYANIE SEVERA
10048,SMP ARKHANGELSK
10049,SMP NOVODVINSK
10050,SMP SEVERODVINSK
10051,ADLER
10052,TERIBERKA
10053,ANGARA
10054,ASCALON
10055,POLAR ROCK
10056,NORD PROJECT LLC TRANSPORT COMPANY
10057,ENISEY
10058,NP DIKSON
10059,M LEASING LLC
10060,MARINE TRANS SHIPPING LLC
10061,ANASTASIIA
10062,ASKAR-SARYDZHA
10063,SAPFIR
10064,BLENDER.IO
10065,GASRET ALIEV
10066,NP DUDINKA
10067,RZK CONSTANTA
10068,SEVERNIY PROECT
10069,TRITON
10070,GENRIKH GASANOV
10071,VIKTOR ZABELIN
10072,SIBERIA
10073,TAIBOLA
10074,KOMPOZITOR GASANOV
10075,TAIMYR
10076,TAMBEY
10077,VYMPEL-ASSISTANCE LLC
10078,LADY D
10079,TERSKIY BEREG
10080,SOLAR-INVEST LLC
10081,TIKSY
10082,LADY MARIIA
10083,TURUKHAN
10084,LADY R
10085,MAIA-1
10086,OLGA
10087,UTRENNIY
10088,SABETTA
10089,PORT OLYA-1
10090,PORT OLYA-2
10091,RASUL GAMZATOV
10092,SONA
10093,VALENTIN EMIROV
10094,"GOLODETS, Olga Yuryevna"
10095,"ZLATKIS, Bella Ilyinichna"
10096,"KUZNETSOV, Stanislav Konstantinovich"
10097,"MALTSEV, Sergey Aleksandrovich"
10098,"POPOV, Anatoliy Leonidovich"
10099,"TSAREV, Kirill Aleksandrovich"
10100,"BURIKO, Alexandra Yurevna"
10101,TERIBERKA
10102,CENTRAL ELECTION COMMISSION OF THE RUSSIAN FEDERATION
10103,"PAMFILOVA, Ella Aleksandrovna"
10104,"BULAEV, Nikolay Ivanovich"
10105,"BUDARINA, Natalya Alekseevna"
10106,"ADHIGUNA, Muhammad Dandi"
10107,"RAMADHANI, Dini"
10108,"SUSANTI, Dwi Dahlia"
10109,"HERYADI, Rudi"
10110,"KARDIAN, Ari"
10111,JOINT STOCK COMPANY NTV BROADCASTING COMPANY
10112,TELEVISION STATION RUSSIA-1
10113,JOINT STOCK COMPANY CHANNEL ONE RUSSIA
10114,"MORGAN HUERTA, Juan Carlos"
10115,"KOCHMAN, Evgeniy Borisovich"
10116,IMPERIAL YACHTS SARL
10117,OOO NORD MARINE
10118,OOO YAKHT-TREID
10119,OOO BILDING MENEDZHMENT
10120,OOO NORD MARIN INZHINIRING
10121,"MORGAN HUERTA, Jose Arnoldo"
10122,"MORGAN HUERTA, Miguel Angel"
10123,"MORGAN HUERTA, Jose Luis"
10124,"MORGAN HUERTA, Martin"
10125,"CHAVARIN PRECIADO, David Alonso"
10126,"HERNANDEZ MAZON, Sergio Isaias"
10127,"MENESES OSPINA, Cristian Julian"
10128,"MORENO OROZCO, Oscar Enrique"
10129,"MURILLO MORGAN, Oscar"
10130,"RAMOS ACOSTA, Alvaro"
10131,"ROMERO WIRICHAGA, Ramiro Martin"
10132,"CAMACHO PORCHAS, Jesus Francisco"
10133,"COMERCIALIZADORA VILLBA STONE, S.A DE C.V."
10134,"CONCEPTOS GASTRONOMICOS DE SONORA, S. DE R.L. DE C.V."
10135,"EXPORTADORA DEL CAMPO RAMOS ACOSTA, S. DE R.L. DE C.V."
10136,"MORGAN GOLDEN MINING, S.A. DE C.V."
10137,"SERANIC, Alen"
10138,"AVKSENTIEVA, Sardana Vladimirovna"
10139,"ALIMOVA, Olga Nikolaevna"
10140,"ARAPOV, Georgy Konstantinovich"
10141,"ARSHBA, Otary Ionovich"
10142,"BERULAVA, Mikhail Nikolaevich"
10143,"BURANOVA, Larisa Nikolaevna"
10144,"VASILIEV, Vladimir Abdualievich"
10145,"VLASOVA, Veronika Valerievna"
10146,"VODOLATSKY, Victor Petrovich"
10147,"VOLOTSKOV, Alexey Anatolievich"
10148,"VTORYGINA, Elena Andreyevna"
10149,"VYATKIN, Dmitry Fedorovich"
10150,"GORDEYEV, Alexey Vasilievich"
10151,"GORYACHEVA, Ksenia Alexandrovna"
10152,"GRESHNEVIKOV, Anatoly Nikolaevich"
10153,"GULIN, Maxim Alexeyevich"
10154,"GUTENEV, Vladimir Vladimirovich"
10155,"DAVANKOV, Vladislav Andreyevich"
10156,"DAMDINTSURUNOV, Vyacheslav Anatolievich"
10157,"DEMIN, Alexander Vyacheslavovich"
10158,"DMITRIEVA, Oksana Genrikhovna"
10159,"DRAPEKO, Elena Grigorievna"
10160,"ZHUKOV, Alexander Dmitrievich"
10161,"ZHUROVA, Svetlana Sergeevna"
10162,"ZAVALNY, Pavel Nikolaevich"
10163,"ZAVARZIN, Victor Mikhailovich"
10164,"ZATULIN, Konstantin Fedorovich"
10165,"KAVINOV, Artem Alexandrovich"
10166,"KAZAKOVA, Olga Mikhailovna"
10167,"KARA-OOL, Sholban Valerievich"
10168,"KARMAZINA, Raisa Vasilievna"
10169,"KIRIYANOV, Artem Yurievich"
10170,"KISELEV, Mikhail Sergeyevich"
10171,"KOBYLKIN, Dmitry Nikolaevich"
10172,"KOVPAK, Lev Igorevich"
10173,"KOCHIEV, Robert Ivanovich"
10174,"KRASOV, Andrey Leonidovich"
10175,"KRASHENINNIKOV, Pavel Vladimirovich"
10176,"KUZNETSOV, Eduard Anatolievich"
10177,"KUZNETSOVA, Anna Yurievna"
10178,"KURBANOV, Rizvan Daniyalovich"
10179,"LARIONOVA, Tatiana Petrovna"
10180,"LEONOV, Oleg Yurievich"
10181,"MAKAROV, Andrey Mikhailovich"
10182,"MARCHENKO, Evgeny Evgenievich"
10183,"MATVEICHEV, Oleg Anatolievich"
10184,"METELEV, Artem Pavlovich"
10185,"MIKHAILOV, Oleg Alexeyevich"
10186,"MOROZOV, Oleg Victorovich"
10187,"MOSKVICHEV, Evgeny Sergeyevich"
10188,"MUTSOEV, Zelimkhan Alikoevich"
10189,"NECHAEV, Alexey Gennadievich"
10190,"NIKOLAEVA, Victoria Victorovna"
10191,"NOVIKOV, Vladimir Mikhailovich"
10192,"NOVICHKOV, Nikolay Vladimirovich"
10193,"NURIEV, Marat Abdulhaevich"
10194,"ORGEYEVA, Marina Eduardovna"
10195,"PAVLOV, Vladimir Victorovich"
10196,"PAHOMOV, Sergey Alexandrovich"
10197,"PEVTSOV, Dmitry Anatolievich"
10198,"PETROV, Alexander Petrovich"
10199,"PINSKY, Victor Vitalievich"
10200,"PISKAREV, Vasily Ivanovich"
10201,"PLYAKIN, Vladimir Vladimirovich"
10202,"POLYAKOV, Alexander Alekseevich"
10203,"POLYAKOVA, Alla Viktorovna"
10204,"RAZVOROTNEVA, Svetlana Victorovna"
10205,"RASHKIN, Valery Fedorovich"
10206,"REVENKO, Evgeny Vasilievich"
10207,"RUMYANTSEV, Nikita Gennadyevich"
10208,"SABLIN, Dmitry Vadimovich"
10209,"SAVITSKAYA, Svetlana Evgenievna"
10210,"SKRIVANOV, Dmitry Stanislavovich"
10211,"SOLODOVNIKOV, Ivan Alexandrovich"
10212,"SOLOMATINA, Tatiana Vasilievna"
10213,"STANKEVICH, Yuri Arkadievich"
10214,"STRELYUKHIN, Alexander Mikhailovich"
10215,"TARBAEV, Sangadzhi Andreyevich"
10216,"TERESHKOVA, Valentina Vladimirovna"
10217,"TIMOFEYEVA, Olga Victorovna"
10218,"TKACHEV, Alexey Nikolaevich"
10219,"TKACHYOV, Anton Olegovich"
10220,"TOLMACHEV, Alexander Romanovich"
10221,"TOLSTOY, Petr Olegovich"
10222,"TOPILIN, Maxim Anatolievich"
10223,"TRETIAK, Vladislav Alexandrovich"
10224,"UZDENOV, Dzhasharbek Borisovich"
10225,"UMAKHANOV, Saygidpasha Darbishevich"
10226,"HAMITOV, Amir Makhsudovich"
10227,"KHINSHTEIN, Alexander Evseyevich"
10228,"KHOR, Gleb Yakovlevich"
10229,"KHUBEZOV, Dmitry Anatolievich"
10230,"CHEMERIS, Roza Basirovna"
10231,"CHEPA, Alexey Vasilievich"
10232,"CHILINGAROV, Artur Nikolaevich"
10233,"SHAYHUTDINOV, Rifat Gabdulkhakovich"
10234,"SHAMANOV, Vladimir Anatolievich"
10235,"SHILKIN, Grigory Vladimirovich"
10236,"SHOLOKHOV, Alexander Mikhailovich"
10237,"YAMPOLSKAYA, Elena Alexandrovna"
10238,"YAROVAYA, Irina Anatolievna"
10239,"ABDALLAH, Ahmad Jalal Reda"
10240,"ATTIA, Hussein Kamel"
10241,"HAIDAMOUS, Joseph Ilya"
10242,UNITED GENERAL HOLDING SAL
10243,UNITED GENERAL OFFSHORE SAL
10244,UNITED GENERAL SERVICES SARL
10245,UNITED GENERAL CONTRACTING COMPANY SARL
10246,AL MOUKHTAR PRODUCTS CO. SARL
10247,FOCUS COMPANY SARL
10248,FOCUS MEDIA COMPANY SAL OFFSHORE
10249,UNITED INTERNATIONAL EXHIBITION COMPANY SARL
10250,"ABDALLAH, Hussein Reda"
10251,"ABDALLAH, Ali Reda"
10252,"ABDALLAH, Hussein Ahmad Jalal"
10253,"CAVARA, Marinko"
10254,"NOVALIC, Fadil"
10255,"NABIZADA, Kamaluddin Gulam"
10256,"TEKE, Murat"
10257,"ETTEHADI, Esam"
10258,RPP LIMITED LIABILITY COMPANY
10259,SCF MANAGEMENT SERVICES CYPRUS LTD
10260,"HAMIDI, Mihrab Suhrab"
10261,GRACEFUL
10262,OLYMPIA
10263,IRONSTONE MARINE INVESTMENTS
10264,JSC ARGUMENT
10265,BUMERZ DENIZCILIK VE TICARET ANONIM SIRKETI
10266,O'NEILL ASSETS CORPORATION
10267,RAIN TRADE GIDA IC VE DIS TICARET LIMITED SIRKETI
10268,"GASILOV, Andrei Valeryevich"
10269,OGC-VICTORIA HOLDING LTD
10270,ZAMANOIL DMCC
10271,MADAME GU
10272,P4-MGU
10273,3A-MGU
10274,"ODEH, Ahmed Sharif Abdallah"
10275,"QAFISHEH, Hisham Younis Yahia"
10276,NON-PROFIT PARTNERSHIP REVIVAL OF MARITIME TRADITIONS
10277,SHELLEST
10278,"ALI, Usama"
10279,LIMITED LIABILITY CORPORATION GELIOS
10280,NEGA
10281,ANDA COMPANY
10282,SIDAR COMPANY
10283,TREND GYO
10284,AL ROWAD REAL ESTATE DEVELOPMENT
10285,AGROGATE HOLDING
10286,ITQAN REAL ESTATE JSC
10287,"SABRI, Abdallah Yusuf Faisal"
10288,"MONZAVI, Azim"
10289,"KAPTAN, Mustafa Omer"
10290,SEVERGROUP LIMITED LIABILITY COMPANY
10291,"MORDASHOV, Alexey Aleksandrovich"
10292,"MORDASHOVA, Marina Aleksandrovna"
10293,"MORDASHOV, Nikita Alekseyevich"
10294,"MORDASHOV, Kirill Alekseyevich"
10295,PUBLIC JOINT STOCK COMPANY SEVERSTAL
10296,LIMITED LIABILITY COMPANY ALGORITM
10297,NORD GOLD PLC
10298,"GORKOV, Sergey Nikolaevich"
10299,"NISANOV, God Semenovich"
10300,"NOVITSKY, Evgeny Grigorievich"
10301,"ZAKHAROVA, Mariya Vladimirovna"
10302,"JONG, Yong Nam"
10303,FAR EASTERN BANK
10304,AIR KORYO TRADING CORPORATION
10305,RAMENSKOYE DESIGN COMPANY JOINT STOCK COMPANY
10306,JSC ALL RUSSIAN RESEARCH INSTITUTE OF RADIO ENGINEERING
10307,LIMITED LIABILITY COMPANY NAUCHNO-PROIZVODSTVENNOYE OBYEDINENIYE RADIOVOLNA
10308,MOSCOW INSTITUTE OF ELECTROMECHANICS AND AUTOMATICS JSC
10309,JOINT STOCK COMPANY MACHINE-BUILDING ENGINEERING OFFICE FAKEL NAMED AFTER AKADEMIKA P. D. GRUSHINA
10310,JOINT STOCK COMPANY RADIOZAVOD
10311,JSC SCIENTIFIC AND PRODUCTION ASSOCIATION OF ELECTRO MECHANIC
10312,JOINT STOCK COMPANY ARZAMASSKY PRIBOROSTROITELNY ZAVOD IMENI PLANDINA
10313,JOINT STOCK COMPANY NORTH WESTERN REGIONAL CENTER OF ALMAZ ANTEY CONCERN OBUKHOVSKY PLANT
10314,"DELGADO LOPEZ, Ruy"
10315,EMPRESA NICARAGUENSE DE MINAS
10316,"GUERRERO COVARRUBIAS, Alonso"
10317,"GUERRERO COVARRUBIAS, Javier"
10318,"SEPULVEDA PORTILLO, Obed Christian"
10319,JOINT STOCK COMPANY VAKUUM.RU
10320,BY TRADE OU
10321,"KOZLOV, Sergey Mikhaylovich"
10322,NON-BANK CREDIT INSTITUTION JOINT STOCK COMPANY NATIONAL SETTLEMENT DEPOSITORY
10323,"KANG, Phyong Guk"
10324,"RI, Sung Il"
10325,"KANG, Kyong Il"
10326,INTERREGIONAL SOCIAL ORGANIZATION UNION OF DONBAS VOLUNTEERS
10327,JOINT STOCK COMPANY RYAZAN STATE INSTRUMENT MAKING ENTERPRISE
10328,JOINT STOCK COMPANY PRODUCTION ASSOCIATION STRELA
10329,JOINT STOCK COMPANY CORPORATION MOSCOW INSTITUTE OF HEAT TECHNOLOGY
10330,JOINT STOCK COMPANY RAMENSKY INSTRUMENT ENGINEERING PLANT
10331,KRYLOV STATE SCIENTIFIC CENTER FEDERAL STATE UNITARY ENTERPRISE
10332,FEDERAL SERVICE FOR MILITARY-TECHNICAL COOPERATION
10333,JOINT STOCK COMPANY SHIPBUILDING CORPORATION AK BARS
10334,JOINT STOCK COMPANY RESEARCH AND PRODUCTION ENTERPRISE RADAR MMS
10335,JOINT STOCK COMPANY RESEARCH INSTITUTE POLYUS OF M.F. STELMAKH
10336,JOINT STOCK COMPANY OBNINSK RESEARCH AND PRODUCTION ENTERPRISE TECHNOLOGIYA NAMED AFTER A. G. ROMASHIN
10337,JOINT STOCK COMPANY PERMSKIY ZAVOD MASHINOSTROITEL
10338,LIMITED LIABILITY COMPANY RSB-GROUP
10339,"KRINITSYN, Oleg Anatolyevich"
10340,LIMITED LIABILITY COMPANY PRIVATE SECURITY ORGANIZATION RSB-GROUP
10341,ZR ENERGY DMCC
10342,ZR GROUP SAL HOLDING
10343,"PINCHUK, Andrei Yuryevich"
10344,ZR LOGISTICS SAL
10345,"KULYGINA, Olga Ivanovna"
10346,"RAHME, Raymond Zina"
10347,"RAHME, Teddy Zina"
10348,JOINT STOCK COMPANY INFORMATION SECURITY REFORM
10349,KALUGA RESEARCH INSTITUTE OF RADIO ENGINEERING JSC
10350,AVIAAVTOMATIKA NAMED AFTER V. TARASOV JSC
10351,JOINT STOCK COMPANY RESEARCH AND DEVELOPMENT ENTERPRISE ALMAZ
10352,JOINT STOCK COMPANY CENTER OF RESEARCH AND TECHNOLOGY SERVICES DINAMIKA
10353,STATE RESEARCH INSTITUTE OF AVIATION SYSTEMS STATE RESEARCH CENTER OF THE RUSSIAN FEDERATION
10354,KIZLYAR ELECTROMECHANICAL PLANT JSC
10355,JOINT STOCK COMPANY PRODUCTION ASSOCIATION URAL OPTICAL AND MECHANICAL PLANT NAMED AFTER E.S. YALAMOV
10356,CLOSED JOINT-STOCK COMPANY SCIENTIFIC PRODUCTION ENTERPRISE TOPAZ
10357,JOINT STOCK COMPANY SPECIAL DESIGN BUREAU TURBINA
